date,year,month,month_num,state,crime_type,latitude,longitude,fatalities
2020-01-16,2020,January,1,Edo,Cult Clash,6.4619,5.3145,1
2020-01-16,2020,January,1,Kaduna,Drug Trafficking,10.5574,7.5026,0
2020-01-16,2020,January,1,Niger,Burglary,9.3357,6.7672,0
2020-01-17,2020,January,1,Lagos,Homicide,6.2885,3.3658,0
2020-01-17,2020,January,1,Lagos,Terrorism,6.2572,3.0299,0
2020-01-17,2020,January,1,Abuja (FCT),Drug Trafficking,8.7311,7.0039,0
2020-01-18,2020,January,1,Ogun,Cybercrime,6.9855,3.0218,0
2020-01-18,2020,January,1,Plateau,Drug Trafficking,8.843,9.388,0
2020-01-18,2020,January,1,Rivers,Homicide,5.2961,7.3015,4
2020-01-18,2020,January,1,Rivers,Kidnapping,4.8145,7.2353,0
2020-01-19,2020,January,1,Sokoto,Drug Trafficking,12.8043,5.3504,3
2020-01-20,2020,January,1,Kano,Armed Robbery,11.7198,8.456,4
2020-01-20,2020,January,1,Kaduna,Terrorism,10.1341,7.8834,1
2020-01-20,2020,January,1,Lagos,Homicide,6.5242,3.538,0
2020-01-20,2020,January,1,Borno,Kidnapping,12.02,13.3632,1
2020-01-20,2020,January,1,Oyo,Drug Trafficking,7.7378,3.6577,0
2020-01-20,2020,January,1,Borno,Drug Trafficking,11.962,12.727,4
2020-01-21,2020,January,1,Lagos,Kidnapping,6.0537,3.776,0
2020-01-21,2020,January,1,Enugu,Kidnapping,6.862,7.7061,1
2020-01-22,2020,January,1,Abuja (FCT),Assault,9.3854,7.0762,0
2020-01-22,2020,January,1,Lagos,Assault,6.6871,3.7272,2
2020-01-23,2020,January,1,Borno,Assault,11.881,13.4678,0
2020-01-23,2020,January,1,Oyo,Fraud,7.6953,3.6637,1
2020-01-23,2020,January,1,Kaduna,Terrorism,10.4846,7.1135,4
2020-01-23,2020,January,1,Plateau,Drug Trafficking,9.3824,9.9317,1
2020-01-24,2020,January,1,Delta,Terrorism,5.152,5.4813,0
2020-01-25,2020,January,1,Enugu,Kidnapping,6.0201,7.8274,0
2020-01-25,2020,January,1,Kaduna,Burglary,10.8622,7.784,2
2020-01-26,2020,January,1,Lagos,Burglary,6.874,3.7015,0
2020-01-27,2020,January,1,Plateau,Cybercrime,8.8076,9.0757,1
2020-01-27,2020,January,1,Imo,Burglary,5.5716,6.9848,0
2020-01-27,2020,January,1,Kano,Armed Robbery,12.0191,8.9043,1
2020-01-27,2020,January,1,Ogun,Kidnapping,7.0785,3.2086,0
2020-01-28,2020,January,1,Borno,Fraud,11.5659,13.2663,3
2020-01-28,2020,January,1,Sokoto,Assault,12.6438,5.132,1
2020-01-29,2020,January,1,Sokoto,Drug Trafficking,13.3487,4.9927,0
2020-01-29,2020,January,1,Anambra,Cult Clash,6.0398,6.7689,0
2020-01-29,2020,January,1,Oyo,Assault,7.9023,3.5265,5
2020-01-29,2020,January,1,Delta,Fraud,5.7686,6.1895,1
2020-01-30,2020,January,1,Imo,Cybercrime,5.8922,7.4902,0
2020-01-30,2020,January,1,Borno,Homicide,11.9063,13.1483,1
2020-01-31,2020,January,1,Delta,Cult Clash,5.4093,6.1266,0
2020-01-31,2020,January,1,Borno,Cult Clash,11.7006,13.2117,0
2020-02-01,2020,February,2,Lagos,Cybercrime,6.9827,3.4388,0
2020-02-02,2020,February,2,Delta,Fraud,5.9116,5.4794,0
2020-02-02,2020,February,2,Abuja (FCT),Homicide,9.0563,7.2034,1
2020-02-02,2020,February,2,Abuja (FCT),Cybercrime,9.1139,7.8774,2
2020-02-02,2020,February,2,Zamfara,Kidnapping,12.0921,7.1517,0
2020-02-02,2020,February,2,Lagos,Kidnapping,6.1359,3.461,3
2020-02-04,2020,February,2,Plateau,Cybercrime,8.9169,9.7621,1
2020-02-04,2020,February,2,Lagos,Fraud,6.6591,3.6336,0
2020-02-05,2020,February,2,Abuja (FCT),Terrorism,9.1023,7.5746,1
2020-02-05,2020,February,2,Kano,Cult Clash,12.4567,8.1832,1
2020-02-05,2020,February,2,Anambra,Terrorism,5.814,6.6586,1
2020-02-05,2020,February,2,Lagos,Assault,6.4712,3.1769,0
2020-02-05,2020,February,2,Lagos,Cult Clash,6.643,3.0491,3
2020-02-06,2020,February,2,Abuja (FCT),Kidnapping,9.193,6.9895,0
2020-02-06,2020,February,2,Cross River,Assault,5.6571,8.9651,0
2020-02-06,2020,February,2,Delta,Cybercrime,5.5237,6.3724,0
2020-02-06,2020,February,2,Imo,Cult Clash,5.1955,7.2899,0
2020-02-07,2020,February,2,Edo,Assault,6.0241,5.3635,2
2020-02-08,2020,February,2,Abuja (FCT),Cybercrime,9.4648,7.4831,1
2020-02-08,2020,February,2,Delta,Cult Clash,5.307,5.6045,2
2020-02-09,2020,February,2,Oyo,Terrorism,7.6272,4.287,1
2020-02-09,2020,February,2,Anambra,Cult Clash,5.8163,7.2969,0
2020-02-10,2020,February,2,Abuja (FCT),Cybercrime,8.6331,7.5887,1
2020-02-10,2020,February,2,Lagos,Assault,6.8808,3.7243,0
2020-02-10,2020,February,2,Kaduna,Kidnapping,10.9925,7.8849,1
2020-02-10,2020,February,2,Lagos,Cybercrime,6.9587,3.1116,0
2020-02-10,2020,February,2,Ogun,Cybercrime,7.0718,3.2011,1
2020-02-11,2020,February,2,Abuja (FCT),Terrorism,9.4411,7.8657,1
2020-02-12,2020,February,2,Kaduna,Drug Trafficking,10.4329,7.689,1
2020-02-13,2020,February,2,Cross River,Assault,5.7195,8.8417,1
2020-02-13,2020,February,2,Plateau,Homicide,9.6494,9.0439,2
2020-02-14,2020,February,2,Abuja (FCT),Drug Trafficking,9.5737,7.0964,1
2020-02-15,2020,February,2,Oyo,Cybercrime,8.2933,3.566,3
2020-02-16,2020,February,2,Plateau,Drug Trafficking,9.5948,9.1091,5
2020-02-16,2020,February,2,Lagos,Fraud,6.4217,3.4032,1
2020-02-16,2020,February,2,Lagos,Armed Robbery,6.6762,3.8699,0
2020-02-16,2020,February,2,Lagos,Terrorism,6.3563,3.6192,0
2020-02-17,2020,February,2,Oyo,Cult Clash,7.9369,4.4206,0
2020-02-17,2020,February,2,Lagos,Drug Trafficking,6.3644,3.0597,0
2020-02-17,2020,February,2,Lagos,Fraud,6.4259,3.5223,0
2020-02-17,2020,February,2,Kano,Armed Robbery,12.4236,8.9079,4
2020-02-17,2020,February,2,Zamfara,Drug Trafficking,12.3769,6.3098,1
2020-02-18,2020,February,2,Kano,Cybercrime,11.8167,8.2907,0
2020-02-18,2020,February,2,Lagos,Drug Trafficking,6.0406,3.175,0
2020-02-19,2020,February,2,Abuja (FCT),Cult Clash,9.0249,7.2326,1
2020-02-19,2020,February,2,Plateau,Fraud,9.6946,9.4813,0
2020-02-20,2020,February,2,Anambra,Assault,6.5943,7.2253,0
2020-02-20,2020,February,2,Borno,Assault,11.8161,12.9454,3
2020-02-20,2020,February,2,Abuja (FCT),Kidnapping,8.6227,7.8825,1
2020-02-21,2020,February,2,Sokoto,Terrorism,13.3049,5.6526,0
2020-02-21,2020,February,2,Abuja (FCT),Kidnapping,8.6053,7.5426,0
2020-02-21,2020,February,2,Rivers,Fraud,5.1869,6.6192,0
2020-02-21,2020,February,2,Kaduna,Homicide,10.5726,7.4483,0
2020-02-22,2020,February,2,Anambra,Terrorism,5.9369,6.6177,1
2020-02-23,2020,February,2,Oyo,Assault,8.2261,4.1677,0
2020-02-23,2020,February,2,Zamfara,Armed Robbery,11.8238,6.5368,2
2020-02-23,2020,February,2,Bauchi,Burglary,10.0301,9.3952,0
2020-02-24,2020,February,2,Lagos,Fraud,6.8429,3.6061,0
2020-02-24,2020,February,2,Kano,Fraud,11.5067,8.6851,1
2020-02-25,2020,February,2,Kano,Cybercrime,12.119,8.3033,2
2020-02-25,2020,February,2,Ogun,Burglary,7.04,3.8128,2
2020-02-26,2020,February,2,Plateau,Assault,8.8335,9.9879,0
2020-02-27,2020,February,2,Lagos,Burglary,6.5044,3.6873,1
2020-02-27,2020,February,2,Imo,Cybercrime,5.3503,6.7787,1
2020-02-28,2020,February,2,Lagos,Armed Robbery,6.9132,2.9134,3
2020-02-28,2020,February,2,Plateau,Cult Clash,9.1024,9.8516,1
2020-02-29,2020,February,2,Cross River,Cybercrime,5.5257,8.5123,2
2020-02-29,2020,February,2,Edo,Homicide,6.1608,5.2762,1
2020-02-29,2020,February,2,Anambra,Cult Clash,5.8485,6.9774,2
2020-02-29,2020,February,2,Lagos,Cybercrime,6.0704,3.6753,0
2020-02-29,2020,February,2,Plateau,Drug Trafficking,8.8919,9.8927,0
2020-03-01,2020,March,3,Kano,Homicide,12.4463,9.0411,0
2020-03-02,2020,March,3,Zamfara,Homicide,12.2046,6.8487,0
2020-03-03,2020,March,3,Oyo,Cult Clash,8.023,3.6012,3
2020-03-03,2020,March,3,Kaduna,Burglary,10.5202,7.5655,0
2020-03-03,2020,March,3,Imo,Homicide,5.7139,6.7327,0
2020-03-03,2020,March,3,Kano,Kidnapping,12.3706,8.2002,0
2020-03-03,2020,March,3,Lagos,Drug Trafficking,6.6465,3.8145,3
2020-03-04,2020,March,3,Ogun,Cybercrime,6.8203,2.8946,3
2020-03-05,2020,March,3,Kano,Fraud,11.6625,8.291,0
2020-03-05,2020,March,3,Delta,Cybercrime,5.8916,5.4696,0
2020-03-05,2020,March,3,Kebbi,Cybercrime,11.5015,4.4777,0
2020-03-06,2020,March,3,Sokoto,Cybercrime,12.9791,5.1022,2
2020-03-06,2020,March,3,Sokoto,Fraud,13.1005,5.527,0
2020-03-06,2020,March,3,Delta,Cult Clash,5.0333,5.491,1
2020-03-06,2020,March,3,Delta,Burglary,5.4701,5.4425,2
2020-03-06,2020,March,3,Imo,Fraud,5.1999,7.3556,0
2020-03-07,2020,March,3,Zamfara,Cybercrime,11.9499,6.7046,3
2020-03-07,2020,March,3,Rivers,Burglary,5.1017,7.1879,0
2020-03-08,2020,March,3,Zamfara,Burglary,11.9616,6.3607,0
2020-03-08,2020,March,3,Kebbi,Assault,11.7597,4.5133,2
2020-03-08,2020,March,3,Abuja (FCT),Cult Clash,8.9193,6.983,0
2020-03-09,2020,March,3,Sokoto,Burglary,13.1531,5.3893,0
2020-03-10,2020,March,3,Lagos,Assault,6.9758,3.571,0
2020-03-10,2020,March,3,Zamfara,Terrorism,11.9273,6.493,0
2020-03-12,2020,March,3,Delta,Cybercrime,5.9305,5.7008,0
2020-03-12,2020,March,3,Kano,Kidnapping,12.0352,8.7764,3
2020-03-12,2020,March,3,Kano,Drug Trafficking,12.0043,8.9925,2
2020-03-14,2020,March,3,Borno,Drug Trafficking,12.0286,13.0914,0
2020-03-15,2020,March,3,Delta,Cult Clash,5.2506,6.3777,0
2020-03-15,2020,March,3,Kaduna,Kidnapping,11.0014,7.3029,2
2020-03-16,2020,March,3,Abuja (FCT),Assault,9.1139,7.2886,1
2020-03-16,2020,March,3,Lagos,Homicide,6.9202,3.7972,0
2020-03-16,2020,March,3,Borno,Cybercrime,12.0876,12.6954,1
2020-03-16,2020,March,3,Kano,Fraud,11.6249,8.1174,1
2020-03-17,2020,March,3,Lagos,Cybercrime,6.4129,3.1678,0
2020-03-18,2020,March,3,Lagos,Fraud,6.1119,2.9335,2
2020-03-18,2020,March,3,Imo,Cybercrime,5.2087,7.3887,0
2020-03-18,2020,March,3,Delta,Armed Robbery,5.7352,6.0349,0
2020-03-18,2020,March,3,Kano,Kidnapping,11.5129,8.2067,3
2020-03-19,2020,March,3,Sokoto,Cult Clash,12.8145,5.0918,3
2020-03-19,2020,March,3,Oyo,Drug Trafficking,7.7834,4.3657,2
2020-03-20,2020,March,3,Kano,Assault,11.88,8.8794,0
2020-03-20,2020,March,3,Kaduna,Terrorism,10.8809,6.9932,0
2020-03-21,2020,March,3,Kano,Burglary,12.3758,8.2802,2
2020-03-21,2020,March,3,Lagos,Cybercrime,6.664,3.8212,0
2020-03-21,2020,March,3,Kaduna,Homicide,10.8017,7.4784,4
2020-03-21,2020,March,3,Niger,Fraud,10.0019,6.7399,1
2020-03-21,2020,March,3,Lagos,Burglary,6.3333,3.32,1
2020-03-22,2020,March,3,Borno,Drug Trafficking,11.6236,12.9814,0
2020-03-23,2020,March,3,Oyo,Kidnapping,7.5809,3.6833,0
2020-03-23,2020,March,3,Delta,Fraud,5.0756,5.9726,2
2020-03-24,2020,March,3,Plateau,Cybercrime,9.5728,9.85,0
2020-03-24,2020,March,3,Kebbi,Homicide,11.4357,4.7221,1
2020-03-25,2020,March,3,Edo,Cult Clash,6.814,5.8193,1
2020-03-25,2020,March,3,Kaduna,Fraud,10.7545,7.9311,4
2020-03-25,2020,March,3,Lagos,Drug Trafficking,6.6049,3.1395,1
2020-03-25,2020,March,3,Abuja (FCT),Cult Clash,8.6707,7.6775,1
2020-03-26,2020,March,3,Anambra,Homicide,6.5349,7.1716,5
2020-03-26,2020,March,3,Anambra,Cult Clash,6.2391,6.6538,3
2020-03-26,2020,March,3,Delta,Kidnapping,5.0684,5.5868,1
2020-03-26,2020,March,3,Borno,Fraud,11.6916,13.5666,3
2020-03-27,2020,March,3,Kano,Drug Trafficking,12.446,8.9668,0
2020-03-27,2020,March,3,Borno,Fraud,11.8292,13.57,1
2020-03-28,2020,March,3,Niger,Homicide,9.7345,6.7008,1
2020-03-28,2020,March,3,Plateau,Drug Trafficking,8.8741,9.3243,1
2020-03-29,2020,March,3,Lagos,Terrorism,6.5033,3.1806,2
2020-03-30,2020,March,3,Rivers,Homicide,5.234,6.871,1
2020-03-30,2020,March,3,Lagos,Drug Trafficking,6.6601,3.8602,0
2020-03-30,2020,March,3,Lagos,Burglary,6.2641,3.7497,0
2020-03-30,2020,March,3,Lagos,Drug Trafficking,6.1566,3.6493,0
2020-03-30,2020,March,3,Kaduna,Fraud,10.9975,7.1374,0
2020-03-30,2020,March,3,Lagos,Terrorism,6.0748,3.4505,1
2020-03-31,2020,March,3,Oyo,Fraud,7.7657,3.541,0
2020-04-01,2020,April,4,Lagos,Cult Clash,6.5881,3.6694,0
2020-04-01,2020,April,4,Kano,Drug Trafficking,11.6581,8.6908,1
2020-04-01,2020,April,4,Kaduna,Armed Robbery,10.4398,7.5114,1
2020-04-02,2020,April,4,Lagos,Terrorism,6.6395,3.2846,1
2020-04-03,2020,April,4,Kano,Drug Trafficking,11.5183,8.7128,4
2020-04-03,2020,April,4,Oyo,Assault,7.7113,3.504,0
2020-04-03,2020,April,4,Kaduna,Fraud,10.6835,7.7114,5
2020-04-03,2020,April,4,Borno,Assault,11.782,13.0786,0
2020-04-04,2020,April,4,Kano,Fraud,12.0215,8.188,1
2020-04-04,2020,April,4,Rivers,Homicide,4.5582,6.866,0
2020-04-04,2020,April,4,Rivers,Homicide,5.0479,6.5604,0
2020-04-04,2020,April,4,Borno,Terrorism,11.376,13.0036,0
2020-04-04,2020,April,4,Lagos,Armed Robbery,6.7041,3.5994,2
2020-04-04,2020,April,4,Delta,Cybercrime,5.9782,5.9181,2
2020-04-05,2020,April,4,Enugu,Cybercrime,6.3772,7.3666,1
2020-04-06,2020,April,4,Anambra,Homicide,5.7523,7.3816,0
2020-04-06,2020,April,4,Lagos,Fraud,6.3023,3.2993,0
2020-04-06,2020,April,4,Lagos,Armed Robbery,6.1436,3.3371,1
2020-04-07,2020,April,4,Lagos,Armed Robbery,6.1342,3.8289,1
2020-04-07,2020,April,4,Enugu,Homicide,6.9404,7.6118,3
2020-04-07,2020,April,4,Kaduna,Kidnapping,10.6155,7.4388,0
2020-04-08,2020,April,4,Zamfara,Assault,12.4646,7.1419,0
2020-04-08,2020,April,4,Lagos,Armed Robbery,6.5567,3.4333,0
2020-04-08,2020,April,4,Oyo,Drug Trafficking,7.3597,3.826,4
2020-04-09,2020,April,4,Zamfara,Cult Clash,12.001,6.975,0
2020-04-10,2020,April,4,Rivers,Cybercrime,5.0416,6.7185,1
2020-04-10,2020,April,4,Edo,Cult Clash,6.5245,5.463,0
2020-04-10,2020,April,4,Oyo,Fraud,8.2606,4.1785,2
2020-04-10,2020,April,4,Lagos,Terrorism,6.5094,3.4502,0
2020-04-10,2020,April,4,Borno,Cybercrime,11.5854,13.0833,0
2020-04-11,2020,April,4,Kaduna,Burglary,10.1024,7.7459,0
2020-04-11,2020,April,4,Abuja (FCT),Assault,9.1998,7.432,0
2020-04-11,2020,April,4,Lagos,Drug Trafficking,6.7361,3.4362,0
2020-04-11,2020,April,4,Abuja (FCT),Drug Trafficking,8.9775,7.3275,0
2020-04-12,2020,April,4,Borno,Kidnapping,11.4953,12.8228,0
2020-04-13,2020,April,4,Lagos,Homicide,6.1303,2.933,0
2020-04-13,2020,April,4,Lagos,Cybercrime,6.3014,3.5936,0
2020-04-13,2020,April,4,Oyo,Armed Robbery,8.3165,4.3466,0
2020-04-13,2020,April,4,Lagos,Armed Robbery,6.9424,3.5838,0
2020-04-14,2020,April,4,Rivers,Burglary,4.8122,7.13,1
2020-04-15,2020,April,4,Rivers,Terrorism,4.967,7.2514,2
2020-04-15,2020,April,4,Borno,Terrorism,11.5369,13.1992,3
2020-04-15,2020,April,4,Kano,Terrorism,12.4476,8.8394,0
2020-04-15,2020,April,4,Lagos,Terrorism,6.3287,3.1484,0
2020-04-15,2020,April,4,Lagos,Drug Trafficking,6.6668,3.1282,2
2020-04-16,2020,April,4,Lagos,Armed Robbery,6.1614,3.6864,0
2020-04-16,2020,April,4,Lagos,Assault,6.5535,3.5159,0
2020-04-16,2020,April,4,Borno,Fraud,12.3332,13.0,1
2020-04-17,2020,April,4,Enugu,Fraud,6.8816,7.8224,2
2020-04-17,2020,April,4,Lagos,Cult Clash,6.2624,3.6768,0
2020-04-18,2020,April,4,Anambra,Drug Trafficking,6.2389,6.976,0
2020-04-19,2020,April,4,Enugu,Fraud,6.7792,7.1826,0
2020-04-19,2020,April,4,Kano,Fraud,11.6047,8.4626,1
2020-04-19,2020,April,4,Bauchi,Terrorism,10.6638,9.8247,1
2020-04-20,2020,April,4,Oyo,Fraud,8.3203,3.7426,2
2020-04-21,2020,April,4,Lagos,Armed Robbery,6.5778,3.5766,0
2020-04-22,2020,April,4,Kano,Armed Robbery,12.1104,8.2871,1
2020-04-22,2020,April,4,Lagos,Burglary,6.3337,3.6209,1
2020-04-22,2020,April,4,Delta,Assault,5.5467,6.3087,0
2020-04-22,2020,April,4,Borno,Armed Robbery,11.6035,13.6362,0
2020-04-22,2020,April,4,Zamfara,Armed Robbery,11.7872,7.1421,0
2020-04-23,2020,April,4,Kano,Homicide,12.3336,8.6101,0
2020-04-23,2020,April,4,Lagos,Armed Robbery,6.3555,3.5459,1
2020-04-24,2020,April,4,Niger,Homicide,9.5605,6.5798,0
2020-04-25,2020,April,4,Imo,Cult Clash,5.7871,7.0267,4
2020-04-25,2020,April,4,Borno,Drug Trafficking,11.3692,13.4626,2
2020-04-26,2020,April,4,Enugu,Cult Clash,6.3522,7.2134,0
2020-04-27,2020,April,4,Plateau,Cybercrime,9.0756,9.4322,0
2020-04-27,2020,April,4,Delta,Burglary,5.1772,6.0065,0
2020-04-27,2020,April,4,Kaduna,Fraud,10.0723,7.4151,3
2020-04-28,2020,April,4,Delta,Homicide,6.0097,6.3787,2
2020-04-29,2020,April,4,Bauchi,Cult Clash,9.8464,9.4502,5
2020-04-29,2020,April,4,Rivers,Drug Trafficking,4.7549,7.4285,0
2020-04-29,2020,April,4,Borno,Burglary,12.0385,12.9051,1
2020-04-29,2020,April,4,Enugu,Terrorism,6.9139,7.9104,1
2020-04-30,2020,April,4,Abuja (FCT),Assault,9.4844,7.3988,0
2020-04-30,2020,April,4,Enugu,Homicide,6.2083,7.4231,2
2020-04-30,2020,April,4,Zamfara,Homicide,12.1943,7.0015,0
2020-04-30,2020,April,4,Kaduna,Burglary,10.1137,7.5127,4
2020-04-30,2020,April,4,Delta,Burglary,5.4092,5.4068,0
2020-04-30,2020,April,4,Plateau,Fraud,9.4856,9.2695,0
2020-05-01,2020,May,5,Zamfara,Assault,11.681,7.0223,2
2020-05-01,2020,May,5,Abuja (FCT),Fraud,9.1985,6.9568,0
2020-05-02,2020,May,5,Oyo,Fraud,7.8909,3.4821,4
2020-05-03,2020,May,5,Oyo,Cult Clash,8.2846,3.5023,3
2020-05-04,2020,May,5,Lagos,Cybercrime,6.9037,3.1785,1
2020-05-04,2020,May,5,Kano,Kidnapping,11.8205,8.6451,0
2020-05-05,2020,May,5,Kaduna,Assault,10.6472,7.5328,0
2020-05-05,2020,May,5,Lagos,Cult Clash,6.4675,3.6007,0
2020-05-06,2020,May,5,Borno,Kidnapping,11.979,12.6966,2
2020-05-06,2020,May,5,Kano,Armed Robbery,12.4195,8.3272,1
2020-05-07,2020,May,5,Bauchi,Fraud,10.7523,9.7057,0
2020-05-07,2020,May,5,Anambra,Fraud,5.7263,7.3732,1
2020-05-07,2020,May,5,Plateau,Drug Trafficking,9.0874,9.5664,0
2020-05-08,2020,May,5,Abuja (FCT),Terrorism,8.8409,7.1326,1
2020-05-09,2020,May,5,Rivers,Terrorism,4.4828,6.8258,0
2020-05-09,2020,May,5,Lagos,Cult Clash,6.7558,3.0325,0
2020-05-09,2020,May,5,Edo,Fraud,5.9973,5.4458,1
2020-05-10,2020,May,5,Lagos,Assault,6.6358,3.6074,1
2020-05-11,2020,May,5,Kano,Homicide,11.5641,8.3425,0
2020-05-11,2020,May,5,Abuja (FCT),Drug Trafficking,9.3954,6.9823,2
2020-05-12,2020,May,5,Zamfara,Armed Robbery,12.0128,6.4717,0
2020-05-12,2020,May,5,Sokoto,Kidnapping,12.5666,5.5496,3
2020-05-13,2020,May,5,Lagos,Kidnapping,6.1518,3.8128,2
2020-05-13,2020,May,5,Kaduna,Terrorism,10.1094,7.8161,1
2020-05-13,2020,May,5,Kaduna,Fraud,10.5295,7.1438,0
2020-05-14,2020,May,5,Lagos,Fraud,6.3355,3.386,0
2020-05-14,2020,May,5,Borno,Kidnapping,12.0937,13.323,0
2020-05-14,2020,May,5,Lagos,Burglary,6.1506,3.5035,1
2020-05-14,2020,May,5,Enugu,Assault,6.217,8.0064,0
2020-05-15,2020,May,5,Abuja (FCT),Terrorism,8.7956,7.8137,0
2020-05-15,2020,May,5,Plateau,Armed Robbery,9.0934,9.0735,1
2020-05-15,2020,May,5,Kano,Terrorism,12.1602,8.3705,1
2020-05-16,2020,May,5,Anambra,Assault,6.2885,7.2193,0
2020-05-16,2020,May,5,Borno,Cult Clash,12.0146,13.1894,0
2020-05-16,2020,May,5,Delta,Cybercrime,5.73,6.1211,0
2020-05-17,2020,May,5,Enugu,Burglary,6.2118,7.9974,0
2020-05-17,2020,May,5,Delta,Fraud,5.157,6.1825,0
2020-05-17,2020,May,5,Zamfara,Cybercrime,11.7713,6.196,1
2020-05-17,2020,May,5,Abuja (FCT),Fraud,9.3493,7.1676,2
2020-05-18,2020,May,5,Kaduna,Drug Trafficking,10.0671,7.7903,0
2020-05-18,2020,May,5,Oyo,Cybercrime,7.6578,3.94,0
2020-05-18,2020,May,5,Anambra,Homicide,6.2037,6.9608,4
2020-05-18,2020,May,5,Edo,Homicide,6.4902,5.2741,2
2020-05-18,2020,May,5,Lagos,Burglary,6.3006,3.0433,0
2020-05-19,2020,May,5,Lagos,Drug Trafficking,6.08,3.7672,0
2020-05-19,2020,May,5,Anambra,Terrorism,5.8608,6.5393,0
2020-05-19,2020,May,5,Lagos,Cybercrime,6.3045,3.2425,0
2020-05-20,2020,May,5,Kebbi,Burglary,11.345,3.8584,1
2020-05-20,2020,May,5,Kano,Cybercrime,12.3192,8.775,0
2020-05-20,2020,May,5,Delta,Burglary,5.5625,5.4072,1
2020-05-21,2020,May,5,Lagos,Kidnapping,6.3764,2.9027,0
2020-05-22,2020,May,5,Kaduna,Assault,10.9779,7.1268,1
2020-05-22,2020,May,5,Rivers,Drug Trafficking,4.3308,7.3373,1
2020-05-23,2020,May,5,Sokoto,Cybercrime,12.6837,5.4007,4
2020-05-23,2020,May,5,Lagos,Terrorism,6.0313,2.9115,1
2020-05-23,2020,May,5,Oyo,Assault,8.2989,4.3541,1
2020-05-25,2020,May,5,Ogun,Assault,6.7387,3.4706,0
2020-05-25,2020,May,5,Delta,Drug Trafficking,5.1781,5.5257,1
2020-05-25,2020,May,5,Lagos,Cult Clash,6.9195,3.6006,1
2020-05-26,2020,May,5,Anambra,Cybercrime,5.9872,6.8671,1
2020-05-26,2020,May,5,Enugu,Burglary,6.6003,7.9223,0
2020-05-26,2020,May,5,Kano,Assault,11.8491,8.7619,4
2020-05-26,2020,May,5,Rivers,Drug Trafficking,5.1474,6.8342,0
2020-05-26,2020,May,5,Oyo,Terrorism,7.3985,4.1836,0
2020-05-27,2020,May,5,Borno,Terrorism,11.6607,13.2857,0
2020-05-27,2020,May,5,Kano,Fraud,11.5797,8.8584,1
